"logFC"	"logCPM"	"LR"	"PValue"	"FDR"	"change"
"hsa-miR-3175"	2.08513256618079	1.41159356645739	82.1647659065374	1.25202010510603e-19	1.51325240811734e-18	"UP"
"hsa-miR-5680"	2.73414254862104	1.60863938535793	82.0703137375426	1.31330425824465e-19	1.57878942012636e-18	"UP"
"hsa-miR-627-5p"	-1.37037396299354	1.2070319700544	81.7317620873918	1.55868313007048e-19	1.86375159296127e-18	"DOWN"
"hsa-miR-323b-5p"	0.963338853579111	5.49493674048654	81.5032960281849	1.74969518889182e-19	2.08102044806496e-18	"NOT"
"hsa-miR-103a-2-5p"	5.79509742522488	4.97658843324726	80.8368339500107	2.45145706211422e-19	2.90024232322085e-18	"UP"
"hsa-miR-1537-5p"	2.15729828247681	1.39082188042865	80.5908888031191	2.77636660946963e-19	3.26734512567057e-18	"UP"
"hsa-miR-19b-1-5p"	1.21964901068564	4.97402940776931	80.0235811405987	3.6996791906221e-19	4.33114275928325e-18	"UP"
"hsa-miR-205-5p"	-1.42772473246379	11.4662236445376	79.5465761516259	4.70990292499941e-19	5.48507444807223e-18	"DOWN"
"hsa-miR-3918"	6.07592586166803	6.37777958335801	78.3887635442052	8.46322031668388e-19	9.80505732026174e-18	"UP"
"hsa-miR-214-5p"	1.19728884017632	8.1076368854921	78.3116572289059	8.80010053857854e-19	1.00973086305806e-17	"UP"
"hsa-miR-3157-5p"	-0.986937494253203	4.59015178386262	78.3103799724722	8.80579241039003e-19	1.00973086305806e-17	"NOT"
"hsa-miR-1246"	2.51811434752867	1.45801706647811	77.8330141655539	1.12130260811705e-18	1.27920032232129e-17	"UP"
"hsa-miR-3122"	2.18268258583469	2.19279625506171	77.6098498930271	1.25542490862123e-18	1.42493913486146e-17	"UP"
"hsa-miR-1911-5p"	0.829768581454948	6.34649836622553	77.3637003493654	1.42204875530821e-18	1.60590960447937e-17	"NOT"
"hsa-miR-448"	1.19723145722083	4.66935020808285	76.9366237944382	1.76532927046358e-18	1.98355590389777e-17	"UP"
"hsa-miR-4760-5p"	-1.10301353987541	1.36139637088845	76.6210903313902	2.07115918474782e-18	2.31555596854806e-17	"DOWN"
"hsa-miR-942-3p"	-1.01338205048558	1.80444139743308	76.0700523403182	2.7377801039419e-18	3.04561010567865e-17	"DOWN"
"hsa-miR-15a-5p"	0.981357292443175	7.26790890540292	76.0536714919452	2.76058566545232e-18	3.05577700393633e-17	"NOT"
"hsa-miR-216b-5p"	0.736136876689112	5.53948745122136	75.5645857220845	3.53647880313285e-18	3.89535300680052e-17	"NOT"
"hsa-miR-4716-5p"	2.12395772493877	1.33870281464505	74.222422889369	6.97930222508563e-18	7.6498626349468e-17	"UP"
"hsa-miR-19a-5p"	1.38975791729579	3.64871888239896	73.8684835851052	8.34988721046728e-18	9.10748673297796e-17	"UP"
"hsa-miR-887-5p"	0.741992583552775	4.60553491204964	73.7778579338445	8.74217536242661e-18	9.48907966523588e-17	"NOT"
"hsa-miR-376a-3p"	1.07181237899001	2.47569518752734	73.2375352978756	1.14948816875153e-17	1.24166934556928e-16	"UP"
"hsa-miR-668-3p"	-1.12124526264812	3.56640518236003	72.6569493670272	1.54262721892417e-17	1.65832426034348e-16	"DOWN"
"hsa-miR-30e-5p"	-1.08136531018599	2.63162240696302	72.5392184617881	1.63745352095156e-17	1.75184022624291e-16	"DOWN"
"hsa-miR-3664-5p"	-1.19481320681261	1.64708834196348	72.2717431667647	1.87513227353392e-17	1.99656941124849e-16	"DOWN"
"hsa-miR-378c"	-1.3727538938272	2.01441836179169	71.8255773994506	2.35085207826751e-17	2.49123471422092e-16	"DOWN"
